seed,module,risk_score,blocked
42,siren_wave,0.3425916569500156,False
42,music_hidden_command,0.34583529683772213,False
42,speaker_spoof,0.337440175017898,False
42,ultrasonic,0.3452078960590537,False
42,fgsm_audio,0.3448044884380791,False
42,cw_audio_proxy,0.33868666184136215,False
42,replay_baseline,0.3263627395567886,False
43,siren_wave,0.3419683205773892,False
43,music_hidden_command,0.3451202480016952,False
43,speaker_spoof,0.3374033456743829,False
43,ultrasonic,0.34539483710981533,False
43,fgsm_audio,0.3453080779445531,False
43,cw_audio_proxy,0.3381791433901171,False
43,replay_baseline,0.3299080585092121,False
44,siren_wave,0.34242577982779665,False
44,music_hidden_command,0.3455916048069925,False
44,speaker_spoof,0.33833875329831364,False
44,ultrasonic,0.34569460320109113,False
44,fgsm_audio,0.34504766992914937,False
44,cw_audio_proxy,0.33872588751703014,False
44,replay_baseline,0.3313575024386882,False
